Порядковый номер,Район,Адрес,Количество видеокамер
1.462,Адмиралтейский район,"набережная канала Грибоедова, дом 166, строение 2",1
1.463,Адмиралтейский район,"набережная канала Грибоедова, дом 85/9",3
1.464,Адмиралтейский район,"набережная канала Грибоедова, дом 102, литера Б",2
1.465,Адмиралтейский район,"набережная канала Грибоедова, дом 105",8
1.466,Адмиралтейский район,"набережная канала Грибоедова, дом 106",2
1.467,Адмиралтейский район,"набережная канала Грибоедова, дом 107/6",6
1.468,Адмиралтейский район,"набережная канала Грибоедова, дом 115",2
1.469,Адмиралтейский район,"набережная канала Грибоедова, дом 117",1
1.470,Адмиралтейский район,"набережная канала Грибоедова, дом 119-121",3
1.471,Адмиралтейский район,"набережная канала Грибоедова, дом 124, литера Б",2
1.472,Адмиралтейский район,"набережная канала Грибоедова, дом 127, корпус 3, литера В",1
1.473,Адмиралтейский район,"набережная канала Грибоедова, дом 127, корпус 3, литера В, опора освещения",1
1.474,Адмиралтейский район,"набережная канала Грибоедова, дом 129, литера Д",1
1.475,Адмиралтейский район,"набережная канала Грибоедова, дом 130",3
1.476,Адмиралтейский район,"набережная канала Грибоедова, дом 133а",2
1.477,Адмиралтейский район,"набережная канала Грибоедова, дом 142",3
1.478,Адмиралтейский район,"набережная канала Грибоедова, дом 148-150",7
1.479,Адмиралтейский район,"набережная канала Грибоедова, дом 152",3
1.480,Адмиралтейский район,"набережная канала Грибоедова, дом 154",1
1.481,Адмиралтейский район,"набережная канала Грибоедова, дом 164",7
1.482,Адмиралтейский район,"набережная канала Грибоедова, дом 170",6
1.483,Адмиралтейский район,"набережная канала Грибоедова, дом 42",1
1.484,Адмиралтейский район,"набережная канала Грибоедова, дом 59",2
1.485,Адмиралтейский район,"набережная канала Грибоедова, дом 62",1
1.486,Адмиралтейский район,"набережная канала Грибоедова, дом 65-67",7
1.487,Адмиралтейский район,"набережная канала Грибоедова, дом 76, литера П",3
1.488,Адмиралтейский район,"набережная канала Грибоедова, дом 79/23",5
1.489,Адмиралтейский район,"набережная канала Грибоедова, дом 80, литера Б",2
1.490,Адмиралтейский район,"набережная канала Грибоедова, дом 81",2
1.491,Адмиралтейский район,"набережная канала Грибоедова, дом 82",1
1.492,Адмиралтейский район,"набережная канала Грибоедова, дом 85/9",5
1.493,Адмиралтейский район,"набережная канала Грибоедова, дом 88-90",1
1.494,Адмиралтейский район,"набережная канала Грибоедова, дом 94",3
1.495,Адмиралтейский район,"набережная канала Грибоедова, дом 95",1
1.496,Адмиралтейский район,"набережная канала Грибоедова, дом 97",1
1.497,Адмиралтейский район,"набережная Крюкова канала, дом 11",3
1.498,Адмиралтейский район,"набережная Крюкова канала, дом 15",1
1.499,Адмиралтейский район,"набережная Крюкова канала, дом 19",1
1.500,Адмиралтейский район,"набережная Крюкова канала, дом 21/64",2
1.501,Адмиралтейский район,"набережная Крюкова канала, дом 24",2
1.502,Адмиралтейский район,"набережная Крюкова канала, дом 28",2
1.503,Адмиралтейский район,"набережная Крюкова канала, дом 3",1
1.504,Адмиралтейский район,"набережная Крюкова канала, дом 31",3
1.505,Адмиралтейский район,"набережная Крюкова канала, дом 4",1
1.506,Адмиралтейский район,"набережная Крюкова канала, дом 7/2",1
1.507,Адмиралтейский район,"набережная Крюкова канала, дом 7/2, литера Б",3
1.508,Адмиралтейский район,"набережная Обводного канала, дом 101, литера Б",2
1.509,Адмиралтейский район,"набережная Обводного канала, дом 101, литера Б, опора освещения",2
1.510,Адмиралтейский район,"набережная Обводного канала, дом 108",13
1.511,Адмиралтейский район,"набережная Обводного канала, дом 116, опора освещения",2
1.512,Адмиралтейский район,"набережная Обводного канала, дом 118, литера С",2
1.513,Адмиралтейский район,"набережная Обводного канала, дом 120, литера Б",12
1.514,Адмиралтейский район,"набережная Обводного канала, дом 121",12
1.515,Адмиралтейский район,"набережная Обводного канала, дом 121, литера Б",7
1.516,Адмиралтейский район,"набережная Обводного канала, дом 122",2
1.517,Адмиралтейский район,"набережная Обводного канала, дом 122, литера Б",2
1.518,Адмиралтейский район,"набережная Обводного канала, дом 122, сооружение 1, литера К",2
1.519,Адмиралтейский район,"набережная Обводного канала, дом 123",8
1.520,Адмиралтейский район,"набережная Обводного канала, дом 125",10
1.521,Адмиралтейский район,"набережная Обводного канала, дом 125, литера Б",7
1.522,Адмиралтейский район,"набережная Обводного канала, дом 127, литера З",1
1.523,Адмиралтейский район,"набережная Обводного канала, дом 128",9
1.524,Адмиралтейский район,"набережная Обводного канала, дом 128, опора освещения",2
1.525,Адмиралтейский район,"набережная Обводного канала, дом 134-136-138",2
1.526,Адмиралтейский район,"набережная Обводного канала, дом 134-136-138, корпус 63",1
1.527,Адмиралтейский район,"набережная Обводного канала, дом 134-136-138, литера Б",2
1.528,Адмиралтейский район,"набережная Обводного канала, дом 141",3
1.529,Адмиралтейский район,"набережная Обводного канала, дом 142/16",5
1.530,Адмиралтейский район,"набережная Обводного канала, дом 142/16, опора освещения",1
1.531,Адмиралтейский район,"набережная Обводного канала, дом 143",19
1.532,Адмиралтейский район,"набережная Обводного канала, дом 145, литера Г",4
1.533,Адмиралтейский район,"набережная Обводного канала, дом 151-153, литера Г",7
1.534,Адмиралтейский район,"Набережная Обводного канала, дом 156, корпус 1",19
1.535,Адмиралтейский район,"набережная Обводного канала, дом 181",4
1.536,Адмиралтейский район,"набережная Обводного канала, дом 183",8
1.537,Адмиралтейский район,"набережная Обводного канала, дом 203, опора освещения",2
1.538,Адмиралтейский район,"набережная Обводного канала, дом 205, опора освещения",1
1.539,Адмиралтейский район,"Набережная Обводного канала, дом 219-221",10
1.540,Адмиралтейский район,"набережная Обводного канала, дом 93а",3
1.541,Адмиралтейский район,"набережная реки Мойки, дом 104",6
1.542,Адмиралтейский район,"набережная реки Мойки, дом 108",2
1.543,Адмиралтейский район,"набережная реки Мойки, дом 110",6
1.544,Адмиралтейский район,"набережная реки Мойки, дом 124",2
1.545,Адмиралтейский район,"набережная реки Мойки, дом 126, опора освещения",1
1.546,Адмиралтейский район,"набережная реки Мойки, дом 60",2
1.547,Адмиралтейский район,"набережная реки Мойки, дом 62/2",6
1.548,Адмиралтейский район,"набережная реки Мойки, дом 70",2
1.549,Адмиралтейский район,"набережная реки Мойки, дом 78",5
1.550,Адмиралтейский район,"набережная реки Мойки, дом 84, литера Б",2
1.551,Адмиралтейский район,"набережная реки Пряжки, дом 30",3
1.552,Адмиралтейский район,"набережная реки Пряжки, дом 30, опора освещения",1
1.553,Адмиралтейский район,"набережная реки Пряжки, дом 36",4
1.554,Адмиралтейский район,"Набережная реки Пряжки, дом 4-6",29
1.555,Адмиралтейский район,"набережная реки Пряжки, дом 4-6, опора освещения",1
1.556,Адмиралтейский район,"набережная реки Пряжки, дом 56",2
1.557,Адмиралтейский район,"набережная реки Пряжки, дом 62-64",3
1.558,Адмиралтейский район,"набережная реки Пряжки, дом 7а, опора освещения",1
1.559,Адмиралтейский район,Набережная реки Фонтанки дом 136,1
1.560,Адмиралтейский район,"набережная реки Фонтанки, дом 103",2
1.561,Адмиралтейский район,"набережная реки Фонтанки, дом 104",4
1.562,Адмиралтейский район,"набережная реки Фонтанки, дом 104, корпус 2, литера В, опора освещения",2
1.563,Адмиралтейский район,"набережная реки Фонтанки, дом 108",4
1.564,Адмиралтейский район,"набережная реки Фонтанки, дом 109",2
1.565,Адмиралтейский район,"набережная реки Фонтанки, дом 109, опора освещения",1
1.566,Адмиралтейский район,"набережная реки Фонтанки, дом 110",7
1.567,Адмиралтейский район,"набережная реки Фонтанки, дом 110, литера Б",2
1.568,Адмиралтейский район,"набережная реки Фонтанки, дом 110, опора освещения",1
1.569,Адмиралтейский район,"набережная реки Фонтанки, дом 116",2
1.570,Адмиралтейский район,"набережная реки Фонтанки, дом 117, литера В",2
1.571,Адмиралтейский район,"набережная реки Фонтанки, дом 119",2
1.572,Адмиралтейский район,"набережная реки Фонтанки, дом 121",10
1.573,Адмиралтейский район,"набережная реки Фонтанки, дом 126",10
1.574,Адмиралтейский район,"набережная реки Фонтанки, дом 127",13
1.575,Адмиралтейский район,"набережная реки Фонтанки, дом 129",8
1.576,Адмиралтейский район,"набережная реки Фонтанки, дом 130",6
1.577,Адмиралтейский район,"набережная реки Фонтанки, дом 130а, литера Е",1
1.578,Адмиралтейский район,"набережная реки Фонтанки, дом 131",4
1.579,Адмиралтейский район,"набережная реки Фонтанки, дом 132, литера Д",2
1.580,Адмиралтейский район,"набережная реки Фонтанки, дом 132, литера К",1
1.581,Адмиралтейский район,"Набережная реки Фонтанки, дом 133",17
1.582,Адмиралтейский район,"набережная реки Фонтанки, дом 134",3
1.583,Адмиралтейский район,"набережная реки Фонтанки, дом 134б",1
1.584,Адмиралтейский район,"Набережная реки Фонтанки, дом 136",5
1.585,Адмиралтейский район,"набережная реки Фонтанки, дом 139",1
1.586,Адмиралтейский район,"набережная реки Фонтанки, дом 150",2
1.587,Адмиралтейский район,"набережная реки Фонтанки, дом 154, литера Е",2
1.588,Адмиралтейский район,"набережная реки Фонтанки, дом 156",1
1.589,Адмиралтейский район,"набережная реки Фонтанки, дом 165",1
1.590,Адмиралтейский район,"набережная реки Фонтанки, дом 168, литера Б",3
1.591,Адмиралтейский район,"набережная реки Фонтанки, дом 168, литера В",1
1.592,Адмиралтейский район,"набережная реки Фонтанки, дом 170, литера Д, опора освещения",2
1.593,Адмиралтейский район,"набережная реки Фонтанки, дом 183",5
1.594,Адмиралтейский район,"набережная реки Фонтанки, дом 203, литера Б",1
1.595,Адмиралтейский район,"набережная реки Фонтанки, дом 203, литера ЕГ",2
1.596,Адмиралтейский район,"набережная реки Фонтанки, дом 203, литера ЕУ, опора освещения",1
1.597,Адмиралтейский район,"набережная реки Фонтанки, дом 83",3
1.598,Адмиралтейский район,"набережная реки Фонтанки, дом 85",11
1.599,Адмиралтейский район,"набережная реки Фонтанки, дом 90, корпус 1",3
1.600,Адмиралтейский район,"набережная реки Фонтанки, дом 94",7
1.601,Адмиралтейский район,"набережная реки Фонтанки, дом 96",2
1.602,Адмиралтейский район,"набережная реки Фонтанки, дом 97",4
1.603,Адмиралтейский район,"Нарвский проспект, дом 23/2",6
1.604,Адмиралтейский район,"Нарвский проспект, дом 29",7
1.605,Адмиралтейский район,"Нарвский проспект, дом 4-6",2
1.606,Адмиралтейский район,"Никольская площадь, дом 1",3
1.607,Адмиралтейский район,"Никольская площадь, дом 1, литера В",2
1.608,Адмиралтейский район,"Никольская площадь, дом 6",7
1.609,Адмиралтейский район,"Никольский переулок, дом 7",4
1.610,Адмиралтейский район,"Новосмоленская набережная, дом 1, литера Е",2
1.611,Адмиралтейский район,"Парфеновская улица, дом 11, корпус 1, строение 1",1
1.612,Адмиралтейский район,"пер. Подъездной, 4",1
1.613,Адмиралтейский район,"Перекопская улица, дом 1",7
1.614,Адмиралтейский район,"Перекопская улица, дом 7",3
1.615,Адмиралтейский район,"переулок Антоненко, дом 2, строение 1",2
1.616,Адмиралтейский район,"переулок Антоненко, дом 6",2
1.617,Адмиралтейский район,"переулок Бойцова, дом 3",1
1.618,Адмиралтейский район,"переулок Бойцова, дом 4",7
1.619,Адмиралтейский район,"переулок Бойцова, дом 4, литера В",6
1.620,Адмиралтейский район,"переулок Гривцова, дом 1/64",1
1.621,Адмиралтейский район,"переулок Гривцова, дом 13/11",2
1.622,Адмиралтейский район,"переулок Гривцова, дом 18",3
1.623,Адмиралтейский район,"переулок Гривцова, дом 26",1
1.624,Адмиралтейский район,"переулок Гривцова, дом 3",3
1.625,Адмиралтейский район,"переулок Гривцова, дом 9",1
1.626,Адмиралтейский район,"переулок Лодыгина, дом 1",1
1.627,Адмиралтейский район,"переулок Макаренко, дом 6-8",9
1.628,Адмиралтейский район,"переулок Макаренко, дом 7",12
1.629,Адмиралтейский район,"переулок Пирогова, дом 14",6
1.630,Адмиралтейский район,"переулок Пирогова, дом 21",1
1.631,Адмиралтейский район,"Пионерская площадь, дом 1",10
1.632,Адмиралтейский район,"Пионерская площадь, дом 1, опора освещения",15
1.633,Адмиралтейский район,"площадь Балтийского вокзала, дом 1",1
1.634,Адмиралтейский район,"площадь Балтийского вокзала, дом 2, сооружение 1",2
1.635,Адмиралтейский район,"площадь Витебского вокзала, дом 1",1
1.636,Адмиралтейский район,"площадь Декабристов, дом 1 литера А, опора освещения",1
1.637,Адмиралтейский район,"площадь Репина, дом 1/201",1
1.638,Адмиралтейский район,"площадь Труда, дом 4, сооружение 1",3
1.639,Адмиралтейский район,"Подольская улица, дом 10",3
1.640,Адмиралтейский район,"Подольская улица, дом 1-3-5",1
1.641,Адмиралтейский район,"Подольская улица, дом 16",6
1.642,Адмиралтейский район,"Подольская улица, дом 18",3
1.643,Адмиралтейский район,"Подольская улица, дом 21",3
1.644,Адмиралтейский район,"Подольская улица, дом 23",5
1.645,Адмиралтейский район,"Подольская улица, дом 25",1
1.646,Адмиралтейский район,"Подольская улица, дом 30-32",1
1.647,Адмиралтейский район,"Подольская улица, дом 38",6
1.648,Адмиралтейский район,"Подольская улица, дом 39",3
1.649,Адмиралтейский район,"Подольская улица, дом 40",3
1.650,Адмиралтейский район,"Подольская улица, дом 41, литера Б",1
1.651,Адмиралтейский район,"Подольская улица, дом 42",3
1.652,Адмиралтейский район,"Подольская улица, дом 50, литера Б",1
1.653,Адмиралтейский район,"Подольская улица, дом 8",2
1.654,Адмиралтейский район,"Подъездной переулок, дом 1",5
1.655,Адмиралтейский район,"Подъездной переулок, дом 11",1
1.656,Адмиралтейский район,"Подъездной переулок, дом 14",4
1.657,Адмиралтейский район,"Подъездной переулок, дом 18, литера В",1
1.658,Адмиралтейский район,"Подъездной переулок, дом 21",6
1.659,Адмиралтейский район,"Подъездной переулок, дом 3",3
1.660,Адмиралтейский район,"Подъездной переулок, дом 5",4
1.661,Адмиралтейский район,"Почтамтская улица, дом 1",2
1.662,Адмиралтейский район,"Почтамтская улица, дом 11",3
1.663,Адмиралтейский район,"Почтамтская улица, дом 12",3
1.664,Адмиралтейский район,"Почтамтская улица, дом 2/9",10
1.665,Адмиралтейский район,"Почтамтская улица, дом 20",5
1.666,Адмиралтейский район,"Почтамтская улица, дом 4",2
1.667,Адмиралтейский район,"Прачечный переулок, дом 3",6
1.668,Адмиралтейский район,"проспект Римского-Корсакова, дом 1",4
1.669,Адмиралтейский район,"проспект Римского-Корсакова, дом 103",4
1.670,Адмиралтейский район,"проспект Римского-Корсакова, дом 113, опора освещения",2
1.671,Адмиралтейский район,"проспект Римского-Корсакова, дом 18/13",1
1.672,Адмиралтейский район,"проспект Римского-Корсакова, дом 3",6
1.673,Адмиралтейский район,"проспект Римского-Корсакова, дом 31",5
1.674,Адмиралтейский район,"проспект Римского-Корсакова, дом 37",7
1.675,Адмиралтейский район,"проспект Римского-Корсакова, дом 5-7",4
1.676,Адмиралтейский район,"проспект Римского-Корсакова, дом 61",1
1.677,Адмиралтейский район,"проспект Римского-Корсакова, дом 65/11",8
1.678,Адмиралтейский район,"проспект Римского-Корсакова, дом 73/33",1
1.679,Адмиралтейский район,"проспект Римского-Корсакова, дом 79",8
1.680,Адмиралтейский район,"проспект Римского-Корсакова, дом 83-85",1
1.681,Адмиралтейский район,"Псковская улица, дом 20",4
1.682,Адмиралтейский район,"Псковская улица, дом 22",11
1.683,Адмиралтейский район,"Псковская улица, дом 3",2
1.684,Адмиралтейский район,"Псковская улица, дом 3, литера Б",2
1.685,Адмиралтейский район,"Псковская улица, дом 36",3
1.686,Адмиралтейский район,"Псковская улица, дом 8",4
1.687,Адмиралтейский район,"Рабочий переулок, дом 4/8",6
1.688,Адмиралтейский район,"Репина площадь, дом 1/201, опора освещения",4
1.689,Адмиралтейский район,"Репина площадь, дом 3-5, литера Б",5
1.690,Адмиралтейский район,"Рижский проспект, дом 12",5
1.691,Адмиралтейский район,"Рижский проспект, дом 20, лит.И",3
1.692,Адмиралтейский район,"Рижский проспект, дом 20, литера И",3
1.693,Адмиралтейский район,"Рижский проспект, дом 23, опора освещения",1
1.694,Адмиралтейский район,"Рижский проспект, дом 30",6
1.695,Адмиралтейский район,"Рижский проспект, дом 40",4
1.696,Адмиралтейский район,"Рижский проспект, дом 4-6",4
1.697,Адмиралтейский район,"Рижский проспект, дом 49",3
1.698,Адмиралтейский район,"Рижский проспект, дом 50, литера Н",3
1.699,Адмиралтейский район,"Рижский проспект, дом 54",8
1.700,Адмиралтейский район,"Рижский проспект, дом 56",7
1.701,Адмиралтейский район,"Рижский проспект, дом 62",7
1.702,Адмиралтейский район,"Рижский проспект, дом 72-74, литера О",9
1.703,Адмиралтейский район,"Рижский проспект, дом 74, литера Б",3
1.704,Адмиралтейский район,"Римского-Корсакова проспект, дом 17",3
1.705,Адмиралтейский район,"Рузовская улица, дом 11",1
1.706,Адмиралтейский район,"Рузовская улица, дом 15",2
1.707,Адмиралтейский район,"Рузовская улица, дом 18, опора освещения",1
1.708,Адмиралтейский район,"Садовая улица, дом 101",4
1.709,Адмиралтейский район,"Садовая улица, дом 103",5
1.710,Адмиралтейский район,"Садовая улица, дом 105",2
1.711,Адмиралтейский район,"Садовая улица, дом 108-110",1
1.712,Адмиралтейский район,"Садовая улица, дом 109",7
1.713,Адмиралтейский район,"Садовая улица, дом 111-113",3
1.714,Адмиралтейский район,"Садовая улица, дом 112-114",6
1.715,Адмиралтейский район,"Садовая улица, дом 116",2
1.716,Адмиралтейский район,"Садовая улица, дом 120",4
1.717,Адмиралтейский район,"Садовая улица, дом 123",5
1.718,Адмиралтейский район,"Садовая улица, дом 128",4
1.719,Адмиралтейский район,"Садовая улица, дом 40, литера Б",6
1.720,Адмиралтейский район,"Садовая улица, дом 42",1
1.721,Адмиралтейский район,"Садовая улица, дом 47",2
1.722,Адмиралтейский район,"Садовая улица, дом 49",2
1.723,Адмиралтейский район,"Садовая улица, дом 50б, литера Д",2
1.724,Адмиралтейский район,"Садовая улица, дом 51",2
1.725,Адмиралтейский район,"Садовая улица, дом 52",2
1.726,Адмиралтейский район,"Садовая улица, дом 53",1
1.727,Адмиралтейский район,"Садовая улица, дом 54, литера Б",3
1.728,Адмиралтейский район,"Садовая улица, дом 59",3
1.729,Адмиралтейский район,"Садовая улица, дом 60",14
1.730,Адмиралтейский район,"Садовая улица, дом 65",7
1.731,Адмиралтейский район,"Садовая улица, дом 67",2
1.732,Адмиралтейский район,"Садовая улица, дом 69",2
1.733,Адмиралтейский район,"Садовая улица, дом 91",3
1.734,Адмиралтейский район,"Садовая улица, дом 94",3
1.735,Адмиралтейский район,"Санкт-Петербург, Гражданская улица, дом 17/8",3
1.736,Адмиралтейский район,"Санкт-Петербург, набережная реки Фонтанки, дом 183",5
1.737,Адмиралтейский район,"Сенатская площадь, дом 1, опора освещения",2
1.738,Адмиралтейский район,"Сенатская площадь, дом 3, опора освещения",2
1.739,Адмиралтейский район,"Сенная площадь, дом 13",5
1.740,Адмиралтейский район,"Сенная площадь, дом 2, литера Б, опора",2
1.741,Адмиралтейский район,"Сенная площадь, дом 2, опора освещения",6
1.742,Адмиралтейский район,"Сенная площадь, дом 7",2
1.743,Адмиралтейский район,"Серпуховская улица, дом 17",3
1.744,Адмиралтейский район,"Серпуховская улица, дом 18",5
1.745,Адмиралтейский район,"Серпуховская улица, дом 20",3
1.746,Адмиралтейский район,"Серпуховская улица, дом 28",4
1.747,Адмиралтейский район,"Серпуховская улица, дом 39",1
1.748,Адмиралтейский район,"Серпуховская улица, дом 43",7
1.749,Адмиралтейский район,"Советский переулок, дом 4",20
1.750,Адмиралтейский район,"Спасский переулок, дом 11/1",3
1.751,Адмиралтейский район,"Спасский переулок, дом 2/44",11
1.752,Адмиралтейский район,"Средняя Подьяческая улица, дом 1",2
1.753,Адмиралтейский район,"Средняя Подьяческая улица, дом 15",11
1.754,Адмиралтейский район,"Старо-Калинкин мост, опора освещения",1
1.755,Адмиралтейский район,"Старо-Петергофский проспект / Рижский проспект, дом 52",3
1.756,Адмиралтейский район,"Старо-Петергофский проспект, дом 14, опора освещения",3
1.757,Адмиралтейский район,"Старо-Петергофский проспект, дом 19",4
1.758,Адмиралтейский район,"Старо-Петергофский проспект, дом 21",4
1.759,Адмиралтейский район,"Старо-Петергофский проспект, дом 21, литера Б",3
1.760,Адмиралтейский район,"Старо-Петергофский проспект, дом 21, литера В",4
1.761,Адмиралтейский район,"Старо-Петергофский проспект, дом 21, литера Д",4
1.762,Адмиралтейский район,"Старо-Петергофский проспект, дом 21, литера Е",3
1.763,Адмиралтейский район,"Старо-Петергофский проспект, дом 28",7
1.764,Адмиралтейский район,"Старо-Петергофский проспект, дом 31/2, литера Л",2
1.765,Адмиралтейский район,"Старо-Петергофский проспект, дом 33",1
1.766,Адмиралтейский район,"Старо-Петергофский проспект, дом 3-5",3
1.767,Адмиралтейский район,"Старо-Петергофский проспект, дом 37",3
1.768,Адмиралтейский район,"Старо-Петергофский проспект, дом 39А",4
1.769,Адмиралтейский район,"Старо-Петергофский проспект, дом 43-45",3
1.770,Адмиралтейский район,"Старо-Петергофский проспект, дом 43-45, литера Б",6
1.771,Адмиралтейский район,"Старо-Петергофский проспект, дом 44",2
1.772,Адмиралтейский район,"Старо-Петергофский проспект, дом 52",2
1.773,Адмиралтейский район,"Старо-Петергофский проспект, дом 8, литера Б",11
1.774,Адмиралтейский район,"Степана Разина улица, дом 8/50",4
1.775,Адмиралтейский район,"Столярный переулок, дом 10-12",5
1.776,Адмиралтейский район,"Столярный переулок, дом 18/69",11
1.777,Адмиралтейский район,"Театральная площадь, дом 1",2
1.778,Адмиралтейский район,"Театральная площадь, дом 16",1
1.779,Адмиралтейский район,"Театральная площадь, дом 18",1
1.780,Адмиралтейский район,"Троицкий проспект, дом 12",3
1.781,Адмиралтейский район,"Троицкий проспект, дом 7",3
1.782,Адмиралтейский район,"Троицкий проспект, дом 8",3
1.783,Адмиралтейский район,"Угловой переулок, дом 11",5
1.784,Адмиралтейский район,"Угловой переулок, дом 3",4
1.785,Адмиралтейский район,"Угловой переулок, дом 5",4
1.786,Адмиралтейский район,"Угловой переулок, дом 7",3
1.787,Адмиралтейский район,"Угловой переулок, дом 9",7
1.788,Адмиралтейский район,"улица Глинки, дом 1",9
1.789,Адмиралтейский район,"улица Глинки, дом 3-5-7",4
1.790,Адмиралтейский район,"улица Декабристов, дом 1-3",1
1.791,Адмиралтейский район,"улица Декабристов, дом 14/7",2
1.792,Адмиралтейский район,"улица Декабристов, дом 15",7
1.793,Адмиралтейский район,"улица Декабристов, дом 22-24",4
1.794,Адмиралтейский район,"улица Декабристов, дом 28, литера Б",1
1.795,Адмиралтейский район,"улица Декабристов, дом 29, литера Б",9
1.796,Адмиралтейский район,"улица Декабристов, дом 29, литера Г",2
1.797,Адмиралтейский район,"улица Декабристов, дом 31",5
1.798,Адмиралтейский район,"улица Декабристов, дом 33",5
1.799,Адмиралтейский район,"улица Декабристов, дом 36/1",2
1.800,Адмиралтейский район,"улица Декабристов, дом 37",3
1.801,Адмиралтейский район,"улица Декабристов, дом 48",4
1.802,Адмиралтейский район,"улица Декабристов, дом 52",5
1.803,Адмиралтейский район,"улица Декабристов, дом 54, литера В",3
1.804,Адмиралтейский район,"улица Декабристов, дом 57",6
1.805,Адмиралтейский район,"улица Декабристов, дом 6",9
1.806,Адмиралтейский район,"улица Декабристов, дом 62-64",5
1.807,Адмиралтейский район,"улица Декабристов, дом 62-64, опора освещения",1
1.808,Адмиралтейский район,"улица Егорова, дом 14",14
1.809,Адмиралтейский район,"улица Егорова, дом 24",4
1.810,Адмиралтейский район,"улица Ефимова, дом 1/4",6
1.811,Адмиралтейский район,"улица Ефимова, дом 2",2
1.812,Адмиралтейский район,"улица Ефимова, дом 2, опора освещения",2
1.813,Адмиралтейский район,"улица Ефимова, дом 5",12
1.814,Адмиралтейский район,"улица Ефимова, дом 6",4
1.815,Адмиралтейский район,"улица Константина Заслонова, дом 40",2
1.816,Адмиралтейский район,"улица Лабутина, дом 17",2
1.817,Адмиралтейский район,"улица Лабутина, дом 20-22, литер А",10
1.818,Адмиралтейский район,"улица Лабутина, дом 36",3
1.819,Адмиралтейский район,"улица Лабутина, дом 7",4
1.820,Адмиралтейский район,"улица Марата, дом 86",2
1.821,Адмиралтейский район,"улица Марата, дом 86, опора освещения",5
1.822,Адмиралтейский район,"улица Марата, дом 92, опора освещения",4
1.823,Адмиралтейский район,"улица Пасторова, дом 7",3
1.824,Адмиралтейский район,"улица Писарева, дом 1/118",7
1.825,Адмиралтейский район,"улица Писарева, дом 1/118, опора освещения",1
1.826,Адмиралтейский район,"улица Писарева, дом 12, литера Б",2
1.827,Адмиралтейский район,"улица Правды, дом 22",1
1.828,Адмиралтейский район,"улица Розенштейна, дом 18",1
1.829,Адмиралтейский район,"улица Союза Печатников, дом 17",8
1.830,Адмиралтейский район,"улица Союза Печатников, дом 26",4
1.831,Адмиралтейский район,"улица Союза Печатников, дом 27",3
1.832,Адмиралтейский район,"улица Союза Печатников, дом 29",7
1.833,Адмиралтейский район,"улица Союза Печатников, дом 3",8
1.834,Адмиралтейский район,"улица Союза Печатников, дом 30",4
1.835,Адмиралтейский район,"улица Союза Печатников, дом 9/6",2
1.836,Адмиралтейский район,"улица Степана Разина, дом 15, опора освещения",1
1.837,Адмиралтейский район,"улица Степана Разина, дом 8б/231, опора освещения",1
1.838,Адмиралтейский район,"улица Циолковского, дом 1, литера Б",2
1.839,Адмиралтейский район,"улица Циолковского, дом 8",1
1.840,Адмиралтейский район,"улица Шкапина, дом 1, опора освещения",1
1.841,Адмиралтейский район,"улица Шкапина, дом 2",3
1.842,Адмиралтейский район,"улица Шкапина, дом 24",2
1.843,Адмиралтейский район,"улица Шкапина, дом 48, литера Д",4
1.844,Адмиралтейский район,"улица Шкапина, дом 6",3
1.845,Адмиралтейский район,"улица Шкапина, дом 9-11",10
1.846,Адмиралтейский район,"улица Якубовича, дом 2, литера Б",3
1.847,Адмиралтейский район,"улица Якубовича, дом 20",2
1.848,Адмиралтейский район,"Фонарный переулок, дом 18",1
1.849,Адмиралтейский район,"Фонарный переулок, дом 4",2
1.850,Адмиралтейский район,"Фонтанки набережная, реки, дом 136",1
1.851,Адмиралтейский район,"Храповицкий мост, опора освещения",2
1.852,Адмиралтейский район,"Циолковского улица, дом 7",6
1.853,Василеостровский район,"10-я линия В.О., дом 1/15",1
2.1,Василеостровский район,"10-я линия В.О., дом 13",1
2.2,Василеостровский район,"10-я линия В.О., дом 15",1
2.3,Василеостровский район,"10-я линия В.О., дом 15б",1
2.4,Василеостровский район,"10-я линия В.О., дом 25/42",1
2.5,Василеостровский район,"10-я линия В.О., дом 27/45",1
2.6,Василеостровский район,"10-я линия В.О., дом 49",2
2.7,Василеостровский район,"11-я линия В.О., дом 16",3
2.8,Василеостровский район,"11-я линия В.О., дом 22",7
2.9,Василеостровский район,"11-я линия В.О., дом 30",7
2.10,Василеостровский район,"11-я линия В.О., дом 32/44",1
2.11,Василеостровский район,"11-я линия В.О., дом 34/47",3
2.12,Василеостровский район,"11-я линия В.О., дом 36",1
2.13,Василеостровский район,"11-я линия В.О., дом 46",2
2.14,Василеостровский район,"11-я линия В.О., дом 58",5
2.15,Василеостровский район,"11-я линия В.О., дом 66",2
2.16,Василеостровский район,"12-я линия В.О., дом 29/53",1
2.17,Василеостровский район,"12-я линия В.О., дом 39",2
2.18,Василеостровский район,"12-я линия В.О., дом 53",6
2.19,Василеостровский район,"12-я линия В.О., дом 7/43",7
2.20,Василеостровский район,"12-я линия В.О., дом 9",1
2.21,Василеостровский район,"13-я линия В.О., дом 16",1
2.22,Василеостровский район,"13-я линия В.О., дом 2/19",8
2.23,Василеостровский район,"13-я линия В.О., дом 20",5
2.24,Василеостровский район,"13-я линия В.О., дом 22, литера Б",2
2.25,Василеостровский район,"13-я линия В.О., дом 28",2
