Порядковый номер,Район,Адрес,Количество видеокамер
1.91,Адмиралтейский район,"6-я Красноармейская улица, дом 3",3
1.92,Адмиралтейский район,"6-я Красноармейская улица, дом 8",3
1.93,Адмиралтейский район,"7-я Красноармейская улица, дом 13",2
1.94,Адмиралтейский район,"7-я Красноармейская улица, дом 15",3
1.95,Адмиралтейский район,"7-я Красноармейская улица, дом 19",6
1.96,Адмиралтейский район,"7-я Красноармейская улица, дом 20",4
1.97,Адмиралтейский район,"7-я Красноармейская улица, дом 22-24",7
1.98,Адмиралтейский район,"8-я Красноармейская улица, дом 13",3
1.99,Адмиралтейский район,"8-я Красноармейская улица, дом 15-17",2
1.100,Адмиралтейский район,"8-я Красноармейская улица, дом 3",1
1.101,Адмиралтейский район,"9-я Красноармейская улица, дом 10б",3
1.102,Адмиралтейский район,"9-я Красноармейская улица, дом 4-6",14
1.103,Адмиралтейский район,"9-я Красноармейская улица, дом 9",17
1.104,Адмиралтейский район,"Адмиралтейская набережная, дом 10",3
1.105,Адмиралтейский район,"Адмиралтейская набережная, дом 12-14",6
1.106,Адмиралтейский район,"Адмиралтейская набережная, дом 4",14
1.107,Адмиралтейский район,"Адмиралтейская набережная, дом 6",3
1.108,Адмиралтейский район,"Адмиралтейский проезд, дом 1",6
1.109,Адмиралтейский район,"Адмиралтейский проезд, дом 1, опора освещения",1
1.110,Адмиралтейский район,"Английская набережная, дом 2, опора освещения",2
1.111,Адмиралтейский район,"Английская набережная, дом 22",2
1.112,Адмиралтейский район,"Английская набережная, дом 44",1
1.113,Адмиралтейский район,"Английский проспект, дом 17-19",6
1.114,Адмиралтейский район,"Английский проспект, дом 2",3
1.115,Адмиралтейский район,"Английский проспект, дом 2, литера Б",1
1.116,Адмиралтейский район,"Английский проспект, дом 20",5
1.117,Адмиралтейский район,"Английский проспект, дом 25",5
1.118,Адмиралтейский район,"Английский проспект, дом 26",4
1.119,Адмиралтейский район,"Английский проспект, дом 31",5
1.120,Адмиралтейский район,"Английский проспект, дом 38",4
1.121,Адмиралтейский район,"Английский проспект, дом 40",8
1.122,Адмиралтейский район,"Английский проспект, дом 45",2
1.123,Адмиралтейский район,"Английский проспект, дом 4-6, литера Б",11
1.124,Адмиралтейский район,"Английский проспект, дом 5",2
1.125,Адмиралтейский район,"Английский проспект, дом 56",3
1.126,Адмиралтейский район,"Английский проспект, дом 62",4
1.127,Адмиралтейский район,"Английский проспект, дом 8-10",1
1.128,Адмиралтейский район,"Батайский переулок, дом 3",4
1.129,Адмиралтейский район,"Батайский переулок, дом 6-8",16
1.130,Адмиралтейский район,Благовещенский мост,4
1.131,Адмиралтейский район,"Благовещенский мост, опора освещения",8
1.132,Адмиралтейский район,"Большая Морская улица, дом 11",7
1.133,Адмиралтейский район,"Большая Морская улица, дом 25",2
1.134,Адмиралтейский район,"Большая Морская улица, дом 27",5
1.135,Адмиралтейский район,"Большая Морская улица, дом 33",1
1.136,Адмиралтейский район,"Большая Морская улица, дом 36",2
1.137,Адмиралтейский район,"Большая Морская улица, дом 39",3
1.138,Адмиралтейский район,"Большая Морская улица, дом 39, литера Б",1
1.139,Адмиралтейский район,"Большая морская улица, дом 40",3
1.140,Адмиралтейский район,"Большая Морская улица, дом 42, остановочный павильон общественного транспорта",2
1.141,Адмиралтейский район,"Большая Морская улица, дом 44_x000D_. остановочный павильон общественного транспорта",2
1.142,Адмиралтейский район,"Большая Морская улица, дом 44, остановочный павильон общественного транспорта",2
1.143,Адмиралтейский район,"Большая Морская улица, дом 50",4
1.144,Адмиралтейский район,"Большая Морская улица, дом 52",1
1.145,Адмиралтейский район,"Большая Морская улица, дом 56",9
1.146,Адмиралтейский район,"Большая Морская улица, дом 58, остановочный павильон общественного транспорта",2
1.147,Адмиралтейский район,"Большая Морская улица, дом 69",3
1.148,Адмиралтейский район,"Большая Подьяческая улица, дом 1-3",1
1.149,Адмиралтейский район,"Большая Подьяческая улица, дом 17",8
1.150,Адмиралтейский район,"Большая Подьяческая улица, дом 22",2
1.151,Адмиралтейский район,"Большая Подьяческая улица, дом 25",2
1.152,Адмиралтейский район,"Большая Подьяческая улица, дом 30",2
1.153,Адмиралтейский район,"Большая Подьяческая улица, дом 5",5
